2, 1024, 8
cudaMalloc Execution time: 1 milliseconds
gpu_output_sum 58691584, cpu_sum 58691584 
default malloc-free test PASSED
992 , 0x206959520
993 , 0x206959540
994 , 0x206959560
995 , 0x206959580
996 , 0x2069595a0
997 , 0x2069595c0
998 , 0x2069595e0
999 , 0x206959600
1000 , 0x206959620
1001 , 0x206959640
1002 , 0x206959660
1003 , 0x206959680
1004 , 0x2069596a0
1005 , 0x2069596c0
1006 , 0x2069596e0
1007 , 0x206959700
1008 , 0x206959720
1009 , 0x206959740
1010 , 0x206959760
1011 , 0x206959780
1012 , 0x2069597a0
1013 , 0x2069597c0
1014 , 0x2069597e0
1015 , 0x206959800
1016 , 0x206959820
1017 , 0x206959840
1018 , 0x206959860
1019 , 0x206959880
1020 , 0x2069598a0
1021 , 0x2069598c0
1022 , 0x2069598e0
1023 , 0x206959900
1984 , 0x206961120
1985 , 0x206961140
1986 , 0x206961160
1987 , 0x206961180
1988 , 0x2069611a0
1989 , 0x2069611c0
1990 , 0x2069611e0
1991 , 0x206961200
1992 , 0x206961220
1993 , 0x206961240
1994 , 0x206961260
1995 , 0x206961280
1996 , 0x2069612a0
1997 , 0x2069612c0
1998 , 0x2069612e0
1999 , 0x206961300
2000 , 0x206961320
2001 , 0x206961340
2002 , 0x206961360
2003 , 0x206961380
2004 , 0x2069613a0
2005 , 0x2069613c0
2006 , 0x2069613e0
2007 , 0x206961400
2008 , 0x206961420
2009 , 0x206961440
2010 , 0x206961460
2011 , 0x206961480
2012 , 0x2069614a0
2013 , 0x2069614c0
2014 , 0x2069614e0
2015 , 0x206961500
832 , 0x206958120
833 , 0x206958140
834 , 0x206958160
835 , 0x206958180
836 , 0x2069581a0
837 , 0x2069581c0
838 , 0x2069581e0
839 , 0x206958200
840 , 0x206958220
841 , 0x206958240
842 , 0x206958260
843 , 0x206958280
844 , 0x2069582a0
845 , 0x2069582c0
846 , 0x2069582e0
847 , 0x206958300
848 , 0x206958320
849 , 0x206958340
850 , 0x206958360
851 , 0x206958380
852 , 0x2069583a0
853 , 0x2069583c0
854 , 0x2069583e0
855 , 0x206958400
856 , 0x206958420
857 , 0x206958440
858 , 0x206958460
859 , 0x206958480
860 , 0x2069584a0
861 , 0x2069584c0
862 , 0x2069584e0
863 , 0x206958500
768 , 0x206957920
769 , 0x206957940
770 , 0x206957960
771 , 0x206957980
772 , 0x2069579a0
773 , 0x2069579c0
774 , 0x2069579e0
775 , 0x206957a00
776 , 0x206957a20
777 , 0x206957a40
